ステージ上範囲->出現床/ブロックのマップ（範囲が重複する場合は先に存在するキーを優先）
rangeType, point1X, point1Y, point2X, point2Y, distance, floorNone, floorWater, floorMagma, blockL1, blockL2, blockL3, blockL4
rect, 6, 6, 14, 14, 0, 0, 0, 0, 100, 0, 0, 0
rect, -14, -14, -6, -6, 0, 0, 0, 0, 100, 0, 0, 0
rect, 7, -13, 13, -7, 0, 0, 0, 0, 100, 0, 0, 0
rect, -13, 7, -7, 13, 0, 0, 0, 0, 100, 0, 0, 0
rect, 11, -17, 20, -1, 5, 5, 0, 0, 80, 10, 0, 0
rect, 11, 0, 20, 14, 0, 0, 0, 0, 100, 0, 0, 0 
rect, -20, -14, -11, 0, 0, 0, 0, 0, 100, 0, 0, 0
rect, -20, 1, -11, 17, 0, 0, 0, 0, 100, 0, 0, 0
rect, 19, 15, 20, 16, 0, 0, 0, 0, 100, 0, 0, 0
rect, -23, -20, 24, -17, 0, 0, 0, 0, 100, 0, 0, 0
rect, -23, 20, 22, 20, 0, 0, 0, 0, 100, 0, 0, 0
rect, -3, -29, 4, -23, 0, 0, 0, 0, 100, 0, 0, 0
rect, -22, -26, -12, -22, 0, 0, 0, 0, 100, 0, 0, 0
rect, -13, -34, -4, -27, 0, 0, 0, 0, 100, 0, 0, 0
distance, 13, -29, 0, 0, 6, 0, 0, 0, 100, 0, 0, 0
rect, -4, -42, 7, -35, 0, 0, 0, 0, 100, 0, 0, 0
rect, -3, -48, 11, -43, 0, 0, 0, 0, 100, 0, 0, 0
rect, -11, -48, -6, -43, 0, 0, 0, 0, 100, 0, 0, 0
rect, -20, -48, -13, -36, 0, 0, 0, 0, 100, 0, 0, 0
rect, 14, -49, 32, -47, 0, 0, 0, 0, 100, 0, 0, 0
rect, -14, 24, -10, 34, 0, 0, 0, 0, 100, 0, 0, 0
rect, -7, 24, 7, 33, 0, 0, 0, 0, 100, 0, 0, 0
distance, 12, 38, 0, 0, 6, 0, 0, 0, 100, 0, 0, 0
rect, -21, 42, -17, 45, 0, 0, 0, 0, 100, 0, 0, 0
rect, -34, 37, -16, 46, 0, 0, 0, 0, 100, 0, 0, 0
rect, -14, 37, -6, 45, 0, 0, 0, 0, 100, 0, 0, 0
rect, -5, 42, 4, 46, 0, 0, 0, 0, 100, 0, 0, 0
rect, -14, 47, 10, 49, 0, 0, 0, 0, 100, 0, 0, 0
rect, -42, 47, -16, 49, 0, 0, 0, 0, 100, 0, 0, 0
rect, -39, 4, -21, 14, 0, 0, 0, 0, 100, 0, 0, 0
rect, -28, -4, -21, 3, 0, 0, 0, 0, 100, 0, 0, 0
rect, -39, -4, -29, 3, 0, 0, 0, 0, 100, 0, 0, 0
rect, -39, -16, -21, -5, 0, 0, 0, 0, 100, 0, 0, 0
rect, 21, -5, 28, 2, 0, 0, 0, 0, 100, 0, 0, 0
rect, 29, -5, 37, 2, 0, 0, 0, 0, 100, 0, 0, 0
rect, 21, 3, 37, 14, 0, 0, 0, 0, 100, 0, 0, 0
rect, 21, -16, 37, -6, 0, 0, 0, 0, 100, 0, 0, 0
rect, -35, 15, -24, 25, 0, 0, 0, 0, 100, 0, 0, 0
rect, -49, -17, -40, -11, 0, 0, 0, 0, 100, 0, 0, 0
rect, -49, -9, -42, 6, 0, 0, 0, 0, 100, 0, 0, 0
rect, -49, 7, -42, 24, 0, 0, 0, 0, 100, 0, 0, 0
rect, -41, 26, -15, 29, 0, 0, 0, 0, 100, 0, 0, 0
rect, -33, 30, -26, 36, 0, 0, 0, 0, 100, 0, 0, 0
rect, -43, 34, -36, 39, 0, 0, 0, 0, 100, 0, 0, 0
rect, -49, 42, -43, 49, 0, 0, 0, 0, 100, 0, 0, 0
rect, -32, -35, -24, -21, 0, 0, 0, 0, 100, 0, 0, 0
rect, -45, -28, -36, -21, 0, 0, 0, 0, 100, 0, 0, 0
rect, -43, -35, -38, -31, 0, 0, 0, 0, 100, 0, 0, 0
rect, -38, -48, -27, -39, 0, 0, 0, 0, 100, 0, 0, 0
rect, -49, -49, -40, -39, 0, 0, 0, 0, 100, 0, 0, 0
rect, 31, -21, 35, -17, 0, 0, 0, 0, 100, 0, 0, 0
rect, 23, -41, 27, -19, 0, 0, 0, 0, 100, 0, 0, 0
rect, 29, -46, 40, -39, 0, 0, 0, 0, 100, 0, 0, 0
rect, 39, -18, 46, -13, 0, 0, 0, 0, 100, 0, 0, 0
distance, 35, -28, 0, 0, 4, 0, 0, 0, 100, 0, 0, 0
rect, 42, -32, 45, -19, 0, 0, 0, 0, 100, 0, 0, 0
rect, 36, -37, 44, -34, 0, 0, 0, 0, 100, 0, 0, 0
rect, 47, -40, 49, -37, 0, 0, 0, 0, 100, 0, 0, 0
rect, 46, -48, 49, -41, 0, 0, 0, 0, 100, 0, 0, 0
rect, 42, -10, 49, 6, 0, 0, 0, 0, 100, 0, 0, 0
rect, 39, 7, 49, 12, 0, 0, 0, 0, 100, 0, 0, 0
rect, 24, 18, 33, 27, 0, 0, 0, 0, 100, 0, 0, 0
rect, 20, 31, 28, 49, 0, 0, 0, 0, 100, 0, 0, 0
rect, 29, 31, 34, 35, 0, 0, 0, 0, 100, 0, 0, 0
rect, 36, 16, 49, 19, 0, 0, 0, 0, 100, 0, 0, 0
distance, 45, 26, 0, 0, 3, 0, 0, 0, 100, 0, 0, 0
rect, 35, 26, 45, 33, 0, 0, 0, 0, 100, 0, 0, 0
rect, 29, 36, 34, 41, 0, 0, 0, 0, 100, 0, 0, 0
rect, 35, 36, 41, 41, 0, 0, 0, 0, 100, 0, 0, 0
rect, 42, 36, 49, 41, 0, 0, 0, 0, 100, 0, 0, 0
rect, 29, 42, 34, 47, 0, 0, 0, 0, 100, 0, 0, 0
rect, 35, 42, 41, 47, 0, 0, 0, 0, 100, 0, 0, 0
rect, 42, 42, 45, 47, 0, 0, 0, 0, 100, 0, 0, 0
rect, 46, 46, 49, 49, 0, 0, 0, 0, 100, 0, 0, 0
rect, -50, -50, -50, 50, 0, 0, 0, 0, 100, 0, 0, 0
rect, -49, -50, 49, -50, 0, 0, 0, 0, 100, 0, 0, 0
rect, 50, -50, 50, 50, 0, 0, 0, 0, 100, 0, 0, 0
rect, -49, 50, 49, 50, 0, 0, 0, 0, 100, 0, 0, 0
distance, 0, 0, 0, 0, 8, 0, 0, 0, 100, 0, 0, 0
distance, 0, 0, 0, 0, 10, 2, 0, 0, 98, 0, 0, 0
distance, 0, 0, 0, 0, 15, 2, 0, 0, 88, 10, 0, 0
distance, 0, 0, 0, 0, 20, 2, 0, 0, 88, 9, 1, 0
distance, 0, 0, 0, 0, 25, 1, 1, 0, 86, 10, 2, 0
distance, 0, 0, 0, 0, 30, 1, 0, 1, 80, 14, 3, 1
distance, 0, 0, 0, 0, 50, 0, 0, 5, 50, 25, 16, 7
