固定位置オブジェクトのマップ
pointX, pointY, obj, level
-4, -4, gorilla, 1
4, 4, rabbit, 1
-10, 10, kangaroo, 1
-11, 9, block, 2
-10, 9, block, 2
-9, 9, block, 2
-11, 10, block, 2
-9, 10, block, 2
-11, 11, block, 2
-10, 11, block, 2
-9, 11, block, 2
10, -10, turtle, 1
9, -11, block, 3
10, -11, block, 3
11, -11, block, 3
9, -10, block, 3
11, -10, block, 3
9, -9, block, 3
10, -9, block, 3
11, -9, block, 3
0, -20, girl, 1
-1, -21, block, 4
0, -21, block, 4
1, -21, block, 4
-1, -20, block, 4
1, -20, block, 4
-1, -19, block, 4
0, -19, block, 4
1, -19, block, 4
